from,to,age,location,family-relation,family-weight,relation,relation-weight
HBS,FBS,February 2017,München,1,1,9,3
HBS,SBS,February 2017,München,1,1,9,3
FBS,SBS,February 2017,München,1,1,9,3
HBS,OMMS,2014,99,1,3,7,1
HBS,OMMS,2016,99,1,3,7,1
OMMS,OPMS,99,99,1,99,99,99
HBS,LDFNJ,Jugend,99,4,2,99,99
HBS,LDFNJ,2016,Dachboden OMMS,4,5,2,3
HBS,JN,Jugend,99,4,2,99,99
HBS,JN,2016,Dachboden OMMS,4,5,2,3
HBS,HDJ,2016,Dachboden OMMS,4,5,2,3
HBS,NPD,2016,Dachboden OMMS,4,5,2,3
HBS,DVU,2016,Dachboden OMMS,3,5,2,3
HR,AP,Jugend,Fürstenfeldbruck,4,5,2,3
HBS,ST,Jugend,99,4,2,7,2
HBS,ST,2016,Dachboden OMMS,4,5,2,3
HBS,LS,Jugend,99,4,2,7,2
HBS,LS,2016,Dachboden OMMS,4,5,2,3
HBS,GBS,2016,Dachboden OMMS,4,5,2,3
HBS,GBS,April 2012,99,4,2,4,2
GBS,NSU,2010,99,4,2,7,2
HBS,VR,Jugend,99,1,1,99,99
HBS,OPVS,Jugend,99,1,2,99,99
HBS,OMVS,Jugend,99,1,2,99,99
HBS,HDJ,Kindheit und Jugend,99,4,1,6,2
HBS,JN,Kindheit und Jugend,99,3,1,6,2
HBS,POL,Jugend,99,4,3,2,3
HBS,BHiJ,Kindheit und Jugend,Jena,4,2,6,2
HBS,BJ,2015,99,2,3,7,2
HBS,BJ,2017,München,2,3,2,2
HBS,NAL,2016-2017,99,4,2,7,1
HBS,MR,2017,99,1,1,6,3
HBS,JSR,2017,99,1,2,6,3
HBS,BF,2017,99,2,1,7,3
MR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3
VR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3
HBS,EC,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,2
HBS,TUN,2017,99,4,2,99,99
VR,MR,1992,Fürstenfeldbruck,1,2,7,1
VR,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
MR,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
HBS,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
ASR1,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
ASR2,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
JSR,HR,2001-2007,Fürstenfeldbruck,99,99,99,99
HR,HDJ,1992-2007,Fürstenfeldbruck,4,2,2,1
HR,BIMB,1992-2007,Fürstenfeldbruck,4,99,99,99
HR,PAZ,1992-2007,Fürstenfeldbruck,4,99,99,99
VR,HRF,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,SF,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3
HBS,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,SV,1992-2007,Fürstenfeldbruck,4,1,7,3
MR,NR,1992-2007,Fürstenfeldbruck,2,3,7,1
OMVS,BDM,1992-2007,99,4,2,7,3
OMVS,HBS,1992-2007,99,1,2,2,2
OMVS,ASR1,1992-2007,99,3,2,99,99
OMVS,ASR2,1992-2007,99,3,2,99,99
VR,ZOLL,1992-2007,München,3,1,7,3
VR,AMP,1992-2007,99,4,3,2,3
MR,AMP,1992-2007,99,4,3,2,3
HR,ALDI,1992-2007,99,3,2,7,2
HBS,OMMS,1992-2007,99,1,2,7,2
HBS,PK,Kindheit,99,4,2,7,2
HBS,BBK,Kindheit,99,4,2,7,2
VR,DM,1992-2007,99,4,2,7,2
VR,BM,1992-2007,99,4,2,7,2
HBS,HH,Kindheit,99,4,1,7,3
VR,HH,Kindheit,99,4,3,2,3
VR,MR,Erstes Kennenlernen,99,1,1,8,3
OPVS,OMVS,99,99,1,99,99,99
HBS,OPMS,2017,99,1,3,7,2
OPMS,VR,Kindheit,99,1,2,7,2
OMMS,VR,Kindheit,99,1,2,7,2
OPMS,VR,Jugend,99,1,3,2,3
OMMS,VR,Jugend,99,1,3,2,3
HBS,MR,Kindheit,99,1,1,7,3
HBS,VR,Kindheit,99,1,2,2,1
VR,ASR1,Kindheit,99,1,1,7,3
VR,ASR2,Kindheit,99,1,1,7,3
VR,HBS,Kindergarten,99,1,2,1,3
HBS,BIB,2017,99,4,3,7,2
ASR1,HBS,1992-2007,99,1,2,2,3
ASR2,HBS,1992-2007,99,1,2,2,3
VR,HBS,2007,99,1,5,2,3
VR,HBS,2010,99,1,5,1,3
VR,HBS,2017,99,1,5,6,3
OMVS,HBS,2017,99,1,5,4,3
OPVS,HBS,2017,99,1,5,5,3
ASR1,VR,2017,99,1,1,7,2
ASR1,HBS,2017,99,1,5,2,3
ASR2,HBS,2017,99,1,5,2,3
JSR,HBS,2017,99,1,2,7,2
MR,HBS,2017,99,1,2,7,2
HBS,L1,1998,99,2,2,2,3
HBS,SCH,1998-2007,99,3,2,1,3
HBS,VSS,1998-2007,99,4,2,7,3
HBS,KITA,2017,München,4,1,7,3
HBS,KGS,1998-2007,99,2,1,7,3
HBS,KR,1998-2007,99,99,99,3,3
VR,KR,1998-2007,99,99,99,3,3
HBS,BFC,1999,99,2,1,7,3
