from,to,age,location,familyrelation,familyweight,relationweight,relation
OMMS,OPMS,1,6,1,1,6,99
HBS,HDJ,1,6,4,1,2,6
HBS,JN,1,6,3,1,2,6
MR,FVE,1,Fürstenfeldbruck,2,2,3,7
VR,FVE,1,Fürstenfeldbruck,2,2,3,7
VR,MR,1,Fürstenfeldbruck,1,2,1,7
VR,HR,1,Fürstenfeldbruck,6,6,6,99
MR,HR,1,Fürstenfeldbruck,6,6,6,99
HBS,HR,1,Fürstenfeldbruck,6,6,6,99
ASR1,HR,1,Fürstenfeldbruck,6,6,6,99
ASR2,HR,1,Fürstenfeldbruck,6,6,6,99
HR,HDJ,1,Fürstenfeldbruck,4,2,1,2
HR,BIMB,1,Fürstenfeldbruck,4,6,6,99
HR,PAZ,1,Fürstenfeldbruck,4,6,6,99
VR,HRF,1,Fürstenfeldbruck,4,1,3,7
VR,SF,1,Fürstenfeldbruck,4,1,3,7
VR,EMS,1,Fürstenfeldbruck,4,1,3,7
HBS,EMS,1,Fürstenfeldbruck,4,1,3,7
VR,SV,1,Fürstenfeldbruck,4,1,3,7
MR,NR,1,Fürstenfeldbruck,2,3,1,7
OMVS,BDM,1,6,4,2,3,7
OMVS,HBS,1,6,1,2,2,2
OMVS,ASR1,1,6,3,2,6,99
OMVS,ASR2,1,6,3,2,6,99
VR,ZOLL,1,München,3,1,3,7
VR,AMP,1,6,4,3,3,2
MR,AMP,1,6,4,3,3,2
HR,ALDI,1,6,3,2,2,7
HBS,OMMS,1,6,1,2,2,7
HBS,PK,1,6,4,2,2,7
HBS,BBK,1,6,4,2,2,7
VR,DM,1,6,4,2,2,7
VR,BM,1,6,4,2,2,7
OPMS,VR,1,6,1,2,2,7
OMMS,VR,1,6,1,2,2,7
HBS,MR,1,6,1,1,3,7
HBS,VR,1,6,1,2,1,2
VR,ASR1,1,6,1,1,3,7
VR,ASR2,1,6,1,1,3,7
VR,HBS,1,6,1,2,3,1
ASR1,HBS,1,6,1,2,3,2
ASR2,HBS,1,6,1,2,3,2
HBS,L1,1,6,2,2,3,2
HBS,SCH,1,6,3,2,3,1
HBS,KR,1,6,6,6,3,3
VR,KR,1,6,6,6,3,3
HBS,BFC,1,6,2,1,3,7
HR,FHU,1,Balatonmáriafürdö,4,1,3,7
OPVS,FHU,1,Balatonmáriafürdö,4,1,3,7
OMVS,FHU,1,Balatonmáriafürdö,4,1,3,7
HBS,UM,1,Balatonmáriafürdö,2,2,2,7
VR,RZ,1,Nähe Kaliningrad,2,4,2,2
HR,RZ,1,Nähe Kaliningrad,2,4,,3
HBS,VR,1,Kaliningrad,1,2,2,8
HBS,DK,1,Kaliningrad,2,2,2,7
VR,DMU,1,Trakehnen,2,1,3,7
VR,GST,1,Trakehnen,3,1,3,7
DMU,GST,1,Trakehnen,3,1,3,7
DMU,HDJ,1,6,3,1,3,7
GST,AMS,1,Agnes Miegel Siedlung,3,6,6,99
VR,AMS,1,Nähe Kaliningrad,3,1,2,7
DMU,AMS,1,Nähe Kaliningrad,3,1,2,7
AMS,AM,1,Agnes Miegel Siedlung,3,6,6,99
GST,RE,1,Agnes Miegel Siedlung,3,1,3,7
RE,AMS,1,Nähe Kaliningrad,3,1,3,7
HF,AMS,1,Nähe Kaliningrad,3,1,3,7
GST,HF,1,Agnes Miegel Siedlung,3,1,3,7
HF,NZ,1,6,3,1,3,7
GE,AMS,1,Nähe Kaliningrad,3,1,3,7
GST,GE,1,Agnes Miegel Siedlung,3,1,6,99
GE,HGWSS,1,6,3,1,3,8
HR,BRL,1,Fürstenfeldbruck,4,6,6,99
DMU,BRL,1,Fürstenfeldbruck,4,1,2,7
HBS,BHJ,1,6,3,2,6,99
HBS,HDJ,1,6,3,2,6,99
BHJ,WJ,1,6,3,2,6,99
FR,WJ,1,6,3,1,6,99
GK,WJ,1,Donaueschingen,3,1,6,99
GK,OFA,1,München,4,6,6,99
HDJ,HJ,1,6,3,2,6,99
HDJ,DEJ,1,6,4,2,3,8
HDJ,DEJ,1,6,4,2,3,8
HDJ,DEJ,1,6,4,2,3,8
HDJ,DEJ,1,6,4,2,3,8
HDJ,HA,1,6,4,4,3,8
HDJ,BRD,1,6,3,2,3,2
HBS,HDJ,1,Görlitz,3,2,3,3
MR,HDJ,1,NA,3,3,3,2
HBS,ASR1,1,Görlitz,1,1,2,9
HBS,ASR2,1,Görlitz,1,1,2,9
HBS,HDJA,1,Görlitz,4,2,6,99
HBS,VR,1,Fürstenfeldbruck,1,1,3,7
HDJ,FF,1,6,4,1,6,99
FF,WES,1,6,4,2,2,8
HDJ,NPD,1,6,3,1,3,8
TIN,HDJ,1,6,3,1,3,8
TIN,NPD,1,6,3,1,3,8
DAP,HDJ,1,6,3,1,3,8
DAP,NPD,1,6,3,1,3,8
ALB,WJ,1,6,3,1,6,99
ALB,HDJ,1,6,3,1,3,8
JRG,HDJ,1,6,3,2,3,8
JRG,NPD,1,6,3,1,3,8
HBS,ALS,1,6,2,2,3,8
ALS,HDJ,1,6,3,1,3,8
SER,HDJ,1,Reichenwalde,3,1,3,8
SER,WJ,1,6,3,2,6,99
JUR,AGGG,1,6,3,1,3,8
WON,WJ,1,6,3,1,6,99
WON,RN,1,6,1,1,6,99
RN,WJ,1,6,3,1,6,99
TOL,NPD,1,6,3,1,3,7
HBS,RGR,1,Rostock,6,4,3,2
HBS,RGM,1,Mölln,6,4,3,2
HBS,RGS,1,Solingen,6,4,3,2
HBS,USA,1,6,3,4,3,1
HBS,JUD,1,6,3,4,2,2
HBS,WST,1,6,4,4,3,1
