id,name,sex,category,naziweight,degreeweight
HBS,Heidi Benneckenstein,1,1,2,277
FBS,Felix Benneckenstein,2,0,2,55
SBS,Sohn Benneckenstein,2,0,2,0
OMMS,Oma Mütterlicherseits,1,0,0,14
OPMS,Opa Mütterlicherseits,2,0,0,10
BJ,BILD Journalist,2,0,2,0
MR,Mutter Redeker,1,0,2,22
BF,Beste Freundin,1,0,2,0
VR,Vater Redeker,2,0,2,70
OPVS,Opa Väterlicherseits,2,0,2,0
OMVS,Oma Väterlicherseits,1,0,2,19
L1,Lehrerin 1,1,0,2,0
BFC,Carolin,1,0,2,0
LI,Librada,1,0,2,0
TH,Therapie,6,4,1,0
L2,Lehrerin 2,1,0,2,0
THIN,Therapeutin,1,0,2,0
KZ,KZ Dachau,6,4,1,0
POL,Polizei,6,2,0,0
JN,Junge Nationaldemokraten,6,2,2,0
HDJ,HDJ,6,2,2,65
NPD,NPD,6,2,3,26
DVU,DVU,6,2,2,0
NSU,NSU,6,2,3,0
FVE,Freunde von Eltern,6,0,1,0
BDM,Bund Deutscher Mädel,6,2,3,0
ASR1,Älteste Schwester,1,0,0,15
ASR2,Ältere Schwester,1,0,0,16
JSR,Jüngere Schwester,1,0,0,0
SCH,Schule,6,4,0,0
LDFNJ,Liederbuch,6,3,2,0
AP,Ahnenpass,6,3,2,0
ST,Stahlgewitter,2,3,3,0
LS,Landser,2,3,3,0
GBS,Gigi und die braunen Stadtmusikanten,2,3,3,0
EF,Erster fester Freund,2,0,2,0
BHiJ,Braunes Haus in Jena,6,4,3,0
NAL,Nazi Aussteiger Literatur,6,3,0,0
TUN,Nachrichten,6,3,0,0
BIMB,Baska und ihre Männer Buch,6,3,2,0
PAZ,Preußische Allgemeine Zeitung,6,3,2,0
HR,Haus Redeker,6,4,1,37
HRF,Heinz Rühmann Filme,6,3,1,0
SF,Sissi Filme,6,3,0,0
EMS,Eisenbahn Modell Spiel,6,4,0,0
SV,Schützenverein,6,2,0,0
NR,Nachbarn der Redeker,6,0,0,0
ZOLL,Zoll,6,2,0,0
AMP,Amerikanische Produkte,6,4,0,0
ALDI,Aldi,6,4,0,0
PK,Pumuckl Kasetten,6,3,0,0
BBK,Bibi Blocksberg,6,3,0,0
DM,Deutsche Märsche,6,4,2,0
BM,Bob Marley,2,0,0,0
HH,Hip Hop,6,3,0,0
BIB,Bibel,6,3,0,0
VSS,Seminar Streitschlichtung,6,4,0,0
KITA,Kindertagesstätte,6,4,0,0
KGS,Klassengemeinschaft,6,4,0,0
KR,Krieg,6,4,6,0
PFF,Pflegefamilie,6,4,6,0
FGA,Familiengutachter,2,2,0,0
WTAF,Tagebuch der Anne Frank,6,3,2,0
UM,Ungarisches Mädchen,1,0,0,0
DK,Dorfkinder Kaliningrad,6,0,0,0
DMU,Dietmar Munier,2,0,2,0
GST,GSTmbH,6,2,2,0
AMS,Agnes Miegel Siedlung,6,4,2,13
