from,to,age,location,family-relation,family-weight,relation,relation-weight
HBS,FBS,4,München,1,1,9,3
HBS,SBS,4,München,1,1,9,3
FBS,SBS,4,München,1,1,9,3
HBS,OMMS,4,NA,1,3,7,1
HBS,OMMS,4,NA,1,3,7,1
OMMS,OPMS,NA,NA,1,NA,NA,NA
HBS,LDFNJ,3,NA,4,2,NA,NA
HBS,LDFNJ,4,Dachboden OMMS,4,5,2,3
HBS,JN,3,NA,4,2,NA,NA
HBS,JN,4,Dachboden OMMS,4,5,2,3
HBS,HDJ,4,Dachboden OMMS,4,5,2,3
HBS,NPD,4,Dachboden OMMS,4,5,2,3
HBS,DVU,4,Dachboden OMMS,3,5,2,3
HR,AP,3,Fürstenfeldbruck,4,5,2,3
HBS,ST,3,NA,4,2,7,2
HBS,ST,4,Dachboden OMMS,4,5,2,3
HBS,LS,3,NA,4,2,7,2
HBS,LS,4,Dachboden OMMS,4,5,2,3
HBS,GBS,4,Dachboden OMMS,4,5,2,3
HBS,GBS,4,NA,4,2,4,2
GBS,NSU,4,NA,4,2,7,2
HBS,VR,3,NA,1,1,NA,NA
HBS,OPVS,3,NA,1,2,NA,NA
HBS,OMVS,3,NA,1,2,NA,NA
HBS,HDJ,NA,NA,4,1,6,2
HBS,JN,NA,NA,3,1,6,2
HBS,POL,3,NA,4,3,2,3
HBS,BHiJ,NA,Jena,4,2,6,2
HBS,BJ,4,NA,2,3,7,2
HBS,BJ,4,München,2,3,2,2
HBS,NAL,4,NA,4,2,7,1
HBS,MR,4,NA,1,1,6,3
HBS,JSR,4,NA,1,2,6,3
HBS,BF,4,NA,2,1,7,3
MR,FVE,NA,Fürstenfeldbruck,2,2,7,3
VR,FVE,NA,Fürstenfeldbruck,2,2,7,3
HBS,EC,NA,Fürstenfeldbruck,2,2,7,2
HBS,TUN,4,NA,4,2,NA,NA
VR,MR,1,Fürstenfeldbruck,1,2,7,1
VR,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
MR,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
HBS,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
ASR1,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
ASR2,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
JSR,HR,2,Fürstenfeldbruck,NA,NA,NA,NA
HR,HDJ,2,Fürstenfeldbruck,4,2,2,1
HR,BIMB,2,Fürstenfeldbruck,4,NA,NA,NA
HR,PAZ,2,Fürstenfeldbruck,4,NA,NA,NA
VR,HRF,2,Fürstenfeldbruck,4,1,7,3
VR,SF,2,Fürstenfeldbruck,4,1,7,3
VR,EMS,2,Fürstenfeldbruck,4,1,7,3
HBS,EMS,2,Fürstenfeldbruck,4,1,7,3
VR,SV,2,Fürstenfeldbruck,4,1,7,3
MR,NR,2,Fürstenfeldbruck,2,3,7,1
