from,to,age,location,family-relation,family-weight,relation,relation-weight,page print
HBS,FBS,February 2017,München,1,1,9,3,9
HBS,SBS,February 2017,München,1,1,9,3,9
FBS,SBS,February 2017,München,1,1,9,3,9
HBS,OMMS,2014,NA,1,3,7,1,10
HBS,OMMS,2016,NA,1,3,7,1,10
OMMS,OPMS,NA,NA,1,NA,NA,NA,10
HBS,LDFNJ,Jugend,NA,4,2,NA,NA,10
HBS,LDFNJ,2016,Dachboden OMMS,4,5,2,3,10
HBS,JN,Jugend,NA,4,2,NA,NA,10
HBS,JN,2016,Dachboden OMMS,4,5,2,3,11
HBS,HDJ,2016,Dachboden OMMS,4,5,2,3,11
HBS,NPD,2016,Dachboden OMMS,4,5,2,3,11
HBS,DVU,2016,Dachboden OMMS,3,5,2,3,11
HR,AP,Jugend,Fürstenfeldbruck,4,5,2,3,11
HBS,ST,Jugend,NA,4,2,7,2,12
HBS,ST,2016,Dachboden OMMS,4,5,2,3,12
HBS,LS,Jugend,NA,4,2,7,2,12
HBS,LS,2016,Dachboden OMMS,4,5,2,3,12
HBS,GBS,2016,Dachboden OMMS,4,5,2,3,12
HBS,GBS,April 2012,NA,4,2,4,2,12
GBS,NSU,2010,NA,4,2,7,2,12
HBS,VR,Jugend,NA,1,1,NA,NA,13
HBS,OPVS,Jugend,NA,1,2,NA,NA,13
HBS,OMVS,Jugend,NA,1,2,NA,NA,13
HBS,HDJ,Kindheit und Jugend,NA,4,1,6,2,14
HBS,JN,Kindheit und Jugend,NA,3,1,6,2,14
HBS,POL,Jugend,NA,4,3,2,3,14
HBS,BHiJ,Kindheit und Jugend,Jena,4,2,6,2,14
HBS,BJ,2015,NA,2,3,7,2,15
HBS,BJ,2017,München,2,3,2,2,15
HBS,NAL,2016-2017,NA,4,2,7,1,16
HBS,MR,2017,NA,1,1,6,3,17
HBS,JSR,2017,NA,1,2,6,3,17
HBS,BF,2017,NA,2,1,7,3,18
MR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3,18
VR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3,18
HBS,EC,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,2,18
HBS,TUN,2017,NA,4,2,NA,NA,18
VR,MR,1992,Fürstenfeldbruck,1,2,7,1,20
VR,HR,1992-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
MR,HR,1992-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
HBS,HR,1992-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
ASR1,HR,1992-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
ASR2,HR,1992-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
JSR,HR,2001-2007,Fürstenfeldbruck,NA,NA,NA,NA,20
HR,HDJ,1992-2007,Fürstenfeldbruck,4,2,2,1,20
HR,BIMB,1992-2007,Fürstenfeldbruck,4,NA,NA,NA,20
HR,PAZ,1992-2007,Fürstenfeldbruck,4,NA,NA,NA,21
VR,HRF,1992-2007,Fürstenfeldbruck,4,1,7,3,21
VR,SF,1992-2007,Fürstenfeldbruck,4,1,7,3,21
VR,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3,22
HBS,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3,22
VR,SV,1992-2007,Fürstenfeldbruck,4,1,7,3,22
MR,NR,1992-2007,Fürstenfeldbruck,2,3,7,1,22
OMVS,BDM,1992-2007,NA,4,2,7,3,23
OMVS,HBS,1992-2007,NA,1,2,2,2,24
OMVS,ASR1,1992-2007,NA,3,2,NA,NA,24
OMVS,ASR2,1992-2007,NA,3,2,NA,NA,24
VR,ZOLL,1992-2007,München,3,1,7,3,24
VR,AP,1992-2007,NA,4,3,2,3,24
MR,AP,1992-2007,NA,4,3,2,3,24
HR,ALDI,1992-2007,NA,3,2,7,2,25
HBS,OMMS,1992-2007,NA,1,2,7,2,25
HBS,PK,Kindheit,NA,4,2,7,2,26
HBS,BBK,Kindheit,NA,4,2,7,2,26
VR,DM,1992-2007,NA,4,2,7,2,26
VR,BM,1992-2007,NA,4,2,7,2,26
HBS,HH,Kindheit,NA,4,1,7,3,26
VR,HH,Kindheit,NA,4,3,2,3,26
VR,MR,Erstes Kennenlernen,NA,1,1,8,3,27
OPVS,OMVS,NA,NA,1,NA,NA,NA,NA
HBS,OPMS,2017,NA,1,3,7,2,27
OPMS,VR,Kindheit,NA,1,2,7,2,28
OMMS,VR,Kindheit,NA,1,2,7,2,28
OPMS,VR,Jugend,NA,1,3,2,3,28
OMMS,VR,Jugend,NA,1,3,2,3,28
HBS,MR,Kindheit,NA,1,1,7,3,28
HBS,VR,Kindheit,NA,1,2,2,1,28
VR,ASR1,Kindheit,NA,1,1,7,3,28
VR,ASR2,Kindheit,NA,1,1,7,3,28
VR,HBS,Kindergarten,NA,1,2,1,3,29
HBS,BIB,2017,NA,4,3,7,2,29
ASR1,HBS,1992-2007,NA,1,2,2,3,30
ASR2,HBS,1992-2007,NA,1,2,2,3,30
VR,HBS,2007,NA,1,5,2,3,32
VR,HBS,2010,NA,1,5,1,3,34
VR,HBS,2017,NA,1,5,6,3,34
OMVS,HBS,2017,NA,1,5,4,3,34
